"LEST_Y","LEST_X"
738749.5,6590749.5
738749.5,6590249.5
738749.5,6588249.5
738249.5,6591249.5
738249.5,6590749.5
738249.5,6590249.5
738249.5,6589749.5
738249.5,6589249.5
738249.5,6588749.5
738249.5,6588249.5
738249.5,6587749.5
738249.5,6587249.5
737749.5,6592249.5
737749.5,6591749.5
737749.5,6591249.5
737749.5,6590749.5
737749.5,6590249.5
737749.5,6589749.5
737749.5,6589249.5
737749.5,6588749.5
737749.5,6588249.5
737749.5,6587749.5
737749.5,6587249.5
737249.5,6592249.5
737249.5,6591749.5
737249.5,6591249.5
737249.5,6590749.5
737249.5,6590249.5
737249.5,6589749.5
737249.5,6589249.5
737249.5,6588749.5
737249.5,6588249.5
737249.5,6587749.5
736749.5,6592749.5
736749.5,6592249.5
736749.5,6591249.5
736749.5,6590749.5
736749.5,6590249.5
736749.5,6589749.5
736749.5,6589249.5
736749.5,6588749.5
736749.5,6588249.5
736249.5,6592749.5
736249.5,6590249.5
736249.5,6589749.5
736249.5,6589249.5
736249.5,6588749.5
736249.5,6588249.5
735749.5,6590249.5
735749.5,6589749.5
735749.5,6589249.5
735749.5,6588749.5
735749.5,6588249.5
735749.5,6587749.5
735749.5,6587249.5
735249.5,6593749.5
735249.5,6590749.5
735249.5,6588249.5
734749.5,6594249.5
734749.5,6590749.5
734749.5,6588749.5
734749.5,6588249.5
734749.5,6587249.5
734749.5,6586749.5
734749.5,6586249.5
734249.5,6595249.5
734249.5,6588249.5
734249.5,6587749.5
734249.5,6587249.5
734249.5,6586749.5
734249.5,6586249.5
733749.5,6595749.5
733749.5,6590749.5
733749.5,6588249.5
733749.5,6586749.5
733249.5,6586249.5
732749.5,6596749.5
732749.5,6593749.5
732749.5,6590749.5
732749.5,6586749.5
732249.5,6595749.5
731749.5,6597249.5
731749.5,6595249.5
731749.5,6593249.5
731749.5,6591249.5
731749.5,6586249.5
731249.5,6597249.5
730749.5,6597749.5
730749.5,6597249.5
730749.5,6594249.5
730749.5,6592749.5
730749.5,6591749.5
730749.5,6586249.5
730249.5,6598249.5
730249.5,6597749.5
730249.5,6595749.5
729749.5,6598249.5
729749.5,6597749.5
729749.5,6595749.5
729749.5,6592249.5
729749.5,6586249.5
729249.5,6598249.5
728749.5,6598749.5
728749.5,6598249.5
728749.5,6597749.5
728749.5,6592249.5
728749.5,6585749.5
728249.5,6597749.5
728249.5,6597249.5
728249.5,6591749.5
727749.5,6596749.5
727749.5,6596249.5
727749.5,6585249.5
727249.5,6596249.5
727249.5,6595749.5
727249.5,6595249.5
727249.5,6591249.5
726749.5,6595249.5
726749.5,6594749.5
726749.5,6590749.5
726749.5,6584749.5
725749.5,6593749.5
725749.5,6590249.5
725749.5,6584249.5
725249.5,6593249.5
725249.5,6589249.5
725249.5,6583749.5
724249.5,6592749.5
724249.5,6588749.5
724249.5,6583249.5
723749.5,6591749.5
723749.5,6584749.5
723749.5,6583749.5
723249.5,6590749.5
723249.5,6588749.5
723249.5,6585749.5
723249.5,6582749.5
723249.5,6579249.5
723249.5,6578249.5
723249.5,6577249.5
722749.5,6590249.5
722749.5,6589249.5
722749.5,6588749.5
722749.5,6582249.5
722749.5,6581249.5
722749.5,6580249.5
721749.5,6588749.5
720749.5,6588749.5
720749.5,6587249.5
720249.5,6588249.5
719749.5,6588749.5
718749.5,6588749.5
717749.5,6589249.5
716749.5,6589249.5
716749.5,6423749.5
716249.5,6589749.5
715749.5,6589749.5
715749.5,6429249.5
715249.5,6590249.5
715249.5,6589749.5
715249.5,6429749.5
715249.5,6429249.5
714749.5,6590249.5
714749.5,6589749.5
714749.5,6545749.5
714749.5,6429749.5
714249.5,6590249.5
714249.5,6589749.5
714249.5,6588749.5
714249.5,6582749.5
714249.5,6429749.5
713749.5,6590249.5
713749.5,6589749.5
713749.5,6587749.5
713749.5,6586749.5
713749.5,6430249.5
713249.5,6590249.5
713249.5,6589749.5
713249.5,6588749.5
713249.5,6585749.5
713249.5,6584249.5
712749.5,6590749.5
712749.5,6590249.5
712749.5,6589749.5
712749.5,6589249.5
712749.5,6585249.5
712749.5,6430749.5
712749.5,6417249.5
712249.5,6589749.5
712249.5,6553249.5
711749.5,6589749.5
711749.5,6549749.5
711749.5,6431749.5
711749.5,6431249.5
711749.5,6429749.5
711249.5,6589749.5
711249.5,6554749.5
711249.5,6432249.5
711249.5,6431749.5
711249.5,6426249.5
711249.5,6420249.5
710749.5,6589749.5
710749.5,6432749.5
710749.5,6425249.5
710749.5,6424249.5
710749.5,6423249.5
710749.5,6422249.5
710749.5,6416249.5
710249.5,6438749.5
710249.5,6433749.5
710249.5,6431249.5
709749.5,6589749.5
709749.5,6440749.5
709749.5,6439749.5
709749.5,6436249.5
709749.5,6431749.5
709749.5,6430749.5
709249.5,6441749.5
709249.5,6435249.5
709249.5,6434749.5
709249.5,6434249.5
708749.5,6589749.5
708749.5,6557749.5
708749.5,6443249.5
708749.5,6442749.5
708749.5,6430749.5
708249.5,6558749.5
708249.5,6443249.5
707749.5,6589749.5
707749.5,6564249.5
707749.5,6443249.5
707749.5,6430749.5
706749.5,6589749.5
706749.5,6443249.5
706749.5,6430249.5
705749.5,6589249.5
705749.5,6443749.5
705749.5,6429749.5
705249.5,6421749.5
704749.5,6589249.5
704749.5,6444749.5
704749.5,6444249.5
704749.5,6429749.5
704249.5,6454249.5
704249.5,6448249.5
704249.5,6447249.5
704249.5,6446249.5
704249.5,6445249.5
704249.5,6444749.5
704249.5,6412249.5
703749.5,6589249.5
703749.5,6445749.5
703749.5,6445249.5
703749.5,6444749.5
703749.5,6444249.5
